"Volkswagen Golf";"North Rhine-Westphalia, Lower Saxony, Bavaria"
"Mercedes-Benz C-Class";"Baden-Württemberg, Bavaria"
"BMW 3 Series";"Bavaria"
"Opel Astra";"Lower Saxony, North Rhine-Westphalia"
"Volkswagen Passat";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz E-Class";"Baden-Württemberg, Bavaria"
"Audi A4";"Bavaria"
"BMW 5 Series";"Bavaria"
"Volkswagen Polo";"North Rhine-Westphalia, Lower Saxony"
"Opel Corsa";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz A-Class";"Baden-Württemberg, Bavaria"
"Audi A3";"Bavaria"
"BMW 1 Series";"Bavaria"
"Volkswagen Touran";"Lower Saxony, North Rhine-Westphalia"
"Opel Insignia";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz B-Class";"Baden-Württemberg, Bavaria"
"Audi Q5";"Bavaria"
"BMW X3";"Bavaria"
"Volkswagen Tiguan";"Lower Saxony, North Rhine-Westphalia"
"Opel Mokka";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz GLA-Class";"Baden-Württemberg, Bavaria"
"Audi Q2";"Bavaria"
"BMW X1";"Bavaria"
"Volkswagen Sharan";"Lower Saxony, North Rhine-Westphalia"
"Opel Zafira";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz GLC-Class";"Baden-Württemberg, Bavaria"
"Audi A6";"Bavaria"
"BMW 7 Series";"Bavaria"
"Volkswagen Arteon";"Lower Saxony, North Rhine-Westphalia"
"Opel Grandland X";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz GLE-Class";"Baden-Württemberg, Bavaria"
"Audi Q7";"Bavaria"
"BMW X5";"Bavaria"
"Volkswagen T-Roc";"Lower Saxony, North Rhine-Westphalia"
"Opel Combo";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz GLC Coupé";"Baden-Württemberg, Bavaria"
"Audi Q8";"Bavaria"
"BMW X6";"Bavaria"
"Volkswagen T-Cross";"Lower Saxony, North Rhine-Westphalia"
"Opel Adam";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz GLE Coupé";"Baden-Württemberg, Bavaria"
"Audi e-tron";"Bavaria"
"BMW X7";"Bavaria"
"Volkswagen Beetle";"Lower Saxony, North Rhine-Westphalia"
"Opel Ampera-e";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz GLE plug-in hybrid";"Baden-Württemberg, Bavaria"
"Audi e-tron Sportback";"Bavaria"
"BMW i3";"Bavaria"
"Volkswagen e-Golf";"Lower Saxony, North Rhine-Westphalia"
"Opel Crossland X";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz GLC plug-in hybrid";"Baden-Württemberg, Bavaria"
"Audi A8";"Bavaria"
"BMW i8";"Bavaria"
"Volkswagen ID.3";"Lower Saxony, North Rhine-Westphalia"
"Opel Karl";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz EQC";"Baden-Württemberg, Bavaria"
"Audi e-tron GT";"Bavaria"
"BMW iX3";"Bavaria"
"Volkswagen ID.4";"Lower Saxony, North Rhine-Westphalia"
"Opel Mokka-e";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz EQV";"Baden-Württemberg, Bavaria"
"Audi Q4 e-tron";"Bavaria"
"BMW i4";"Bavaria"
"Volkswagen ID.Buzz";"Lower Saxony, North Rhine-Westphalia"
"Opel Vivaro-e";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz EQA";"Baden-Württemberg, Bavaria"
"Audi Q2 e-tron";"Bavaria"
"BMW iX5";"Bavaria"
"Volkswagen ID.Crozz";"Lower Saxony, North Rhine-Westphalia"
"Opel Zafira-e";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz EQB";"Baden-Württemberg, Bavaria"
"Audi Q6 e-tron";"Bavaria"
"BMW iX7";"Bavaria"
"Volkswagen ID.Vizzion";"Lower Saxony, North Rhine-Westphalia"
"Opel Grandland X PHEV";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz EQS";"Baden-Württemberg, Bavaria"
"Audi Q8 e-tron";"Bavaria"
"BMW iNEXT";"Bavaria"
"Volkswagen ID.4 GTX";"Lower Saxony, North Rhine-Westphalia"
"Opel Mokka X PHEV";"Lower Saxony, North Rhine-Westphalia"
"Mercedes-Benz EQC 400";"Baden-Württemberg, Bavaria"
"Audi e-tron GT quattro";"Bavaria"
"BMW i4 M";"Bavaria"
"Volkswagen ID.4 Crozz";"Lower Saxony, North Rhine-Westphalia"
"Opel Corsa-e";"Lower Saxony, North Rhine-Westphalia"
